function,domain,called,declared,override,status,note
swmm_engine_report,engine,True,True,parity,exposed,via lifecycle.run_simulation (auto-reports at end) and analysis.get_report_snapshot.
swmm_engine_run,engine,True,True,,exposed,
swmm_engine_run_with_callback,engine,True,True,parity,exposed,via lifecycle.run_simulation (background-thread variant).
swmm_engine_start,engine,True,True,parity,exposed,via lifecycle.run_simulation / step_simulation (start before stepping).
swmm_engine_step,engine,True,True,,exposed,
swmm_engine_stride,engine,True,True,parity,exposed,via lifecycle.step_simulation (num_steps parameter).
swmm_error_message,engine,False,True,intentional,intentional,Python raises EngineError; error-code -> message is internal.
swmm_events_add,engine,True,True,parity,exposed,via lifecycle.events_add.
swmm_events_clear,engine,True,True,parity,exposed,via lifecycle.events_clear.
swmm_events_count,engine,True,True,parity,exposed,via lifecycle.events_count.
swmm_events_get,engine,True,True,parity,exposed,via lifecycle.events_get.
swmm_events_remove,engine,True,True,parity,exposed,via lifecycle.events_remove.
swmm_events_set,engine,True,True,parity,exposed,via lifecycle.events_set.
swmm_ext_inflow_add,inflows,True,True,parity,exposed,via _inflows.Inflows.add_external.
swmm_ext_inflow_count,inflows,True,True,,exposed,
swmm_ext_inflow_get,inflows,True,True,,exposed,
swmm_ext_inflow_remove,inflows,True,True,,exposed,
swmm_ext_inflow_set_baseline,inflows,True,True,,exposed,
swmm_ext_inflow_set_scale,inflows,True,True,,exposed,
swmm_file_path_get,model,True,True,,exposed,
swmm_file_path_set,model,True,True,,exposed,
swmm_files_get,model,True,True,parity,exposed,via model.files_get.
swmm_files_set,model,True,True,parity,exposed,via model.files_set.
swmm_finalize_model,model,True,True,parity,exposed,via _model.ModelBuilder.finalize.
swmm_forcing_clear,forcing,True,True,,exposed,
swmm_forcing_clear_all,forcing,True,True,parity,exposed,via forcing.clear_forcing (no target_type/element_id) and forcing.clear_forcing per-target.
swmm_forcing_climate_evap,forcing,True,True,,exposed,
swmm_forcing_climate_temperature,forcing,True,True,,exposed,
swmm_forcing_climate_wind,forcing,True,True,,exposed,
swmm_forcing_gage_rainfall,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='gage', variable='rainfall') and forcing.set_rainfall_override."
swmm_forcing_link_flow,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='link', variable='flow')."
swmm_forcing_link_quality,forcing,True,True,,exposed,
swmm_forcing_link_setting,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='link', variable='setting') and controls.set_link_setting."
swmm_forcing_node_head_boundary,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='node', variable='head')."
swmm_forcing_node_lat_inflow,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='node', variable='lateral_inflow')."
swmm_forcing_node_quality,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='node', variable='quality')."
swmm_forcing_subcatch_evap,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='subcatchment', variable='evap')."
swmm_forcing_subcatch_rainfall,forcing,True,True,parity,exposed,"via forcing.set_forcing (target_type='subcatchment', variable='rainfall')."
swmm_forcing_subcatch_snowfall,forcing,True,True,,exposed,
swmm_gage_add,gages,True,True,,exposed,
swmm_gage_analyze_impact,edit,True,True,,exposed,
swmm_gage_count,gages,True,True,parity,exposed,via lifecycle.open_model summary + query.find_elements counts.
swmm_gage_delete,edit,True,True,,exposed,
swmm_gage_get_data_source,gages,True,True,parity,exposed,via query.get_gage_info.
swmm_gage_get_rain_interval,gages,True,True,,exposed,
swmm_gage_get_rain_type,gages,True,True,parity,exposed,via query.get_gage_info (rain_type field).
swmm_gage_get_rain_units,gages,True,True,,exposed,
swmm_gage_get_rainfall,gages,True,True,parity,exposed,via query.get_gage_info (current rate during running/ended).
swmm_gage_get_rainfall_bulk,gages,True,True,parity,exposed,via spatial.get_model_geometry / analysis.get_time_series with element_type='system'.
swmm_gage_get_scale_factor,gages,True,True,,exposed,
swmm_gage_get_snow_factor,gages,True,True,,exposed,
swmm_gage_get_station_id,gages,True,True,,exposed,
swmm_gage_get_timeseries,gages,True,True,,exposed,
swmm_gage_id,gages,True,True,parity,exposed,via query.get_gage_info / find_elements listings.
swmm_gage_index,gages,True,True,parity,exposed,via query.find_elements (string id -> index).
swmm_gage_rename,gages,True,True,,exposed,
swmm_gage_set_data_source,gages,True,True,parity,exposed,via editing.configure_gage (data_source field).
swmm_gage_set_filename,gages,True,True,parity,exposed,via editing.configure_gage (filename + station_id fields).
swmm_gage_set_rain_interval,gages,True,True,parity,exposed,via editing.configure_gage (rain_interval field).
swmm_gage_set_rain_type,gages,True,True,parity,exposed,via editing.configure_gage (rain_type field).
swmm_gage_set_rain_units,gages,True,True,,exposed,
swmm_gage_set_rainfall,gages,True,True,parity,exposed,"via forcing.set_forcing (target='gage', variable='rainfall')."
swmm_gage_set_scale_factor,gages,True,True,,exposed,
swmm_gage_set_snow_factor,gages,True,True,,exposed,
swmm_gage_set_station_id,gages,True,True,,exposed,
swmm_gage_set_timeseries,gages,True,True,,exposed,
swmm_get_crs,model,True,True,parity,exposed,via _spatial.Spatial.get_crs (Python routes top-level CRS through Spatial).
swmm_get_current_time,engine,False,True,intentional,intentional,"Not called directly; current time via _solver.Solver.current_datetime (start_datetime + elapsed). C func returns elapsed seconds, not an OADate."
swmm_get_end_time,engine,True,True,parity,exposed,via lifecycle.get_simulation_time.
swmm_get_event_count,engine,True,True,intentional,exposed,Alias of swmm_events_count per inline doc; same Phase 1 wrapping.
swmm_get_flow_units,engine,True,True,,exposed,
swmm_get_last_error,engine,False,True,intentional,intentional,Python raises EngineError instead of polling last-error state.
swmm_get_last_error_msg,engine,False,True,intentional,intentional,Python raises EngineError carrying the message.
swmm_get_max_courant,massbalance,True,True,parity,exposed,via analysis.get_mass_balance routing_diagnostics.max_courant.
swmm_get_quality_continuity_error,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (quality_continuity per pollutant).
swmm_get_quality_evap_loss,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (quality losses per pollutant).
swmm_get_quality_seep_loss,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (quality losses per pollutant).
swmm_get_routing_continuity_error,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (routing_continuity field).
swmm_get_routing_stats,massbalance,True,True,parity,exposed,via analysis.get_mass_balance routing_diagnostics field.
swmm_get_routing_step,engine,True,True,parity,exposed,via lifecycle.get_simulation_time.
swmm_get_routing_total,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (routing totals: DWF/WWF/RDII/external/etc.).
swmm_get_runoff_continuity_error,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (runoff_continuity field).
swmm_get_runoff_total,massbalance,True,True,parity,exposed,via analysis.get_mass_balance (runoff totals: rainfall/evap/infil/runoff/etc.).
swmm_get_start_time,engine,True,True,parity,exposed,via lifecycle.get_simulation_time.
swmm_get_steady_state_skip,engine,True,True,parity,exposed,via lifecycle.get_steady_state_skip.
swmm_get_unit_system,engine,True,True,,exposed,
swmm_gpkg_begin,geopackage,True,True,intentional,exposed,Transaction lifecycle owned by individual write tools.
swmm_gpkg_close,geopackage,True,True,,exposed,
swmm_gpkg_commit,geopackage,True,True,intentional,exposed,Same.
swmm_gpkg_create_observed_series,geopackage,True,True,parity,exposed,via geopackage.import_observed_data.
swmm_gpkg_gage_count,geopackage,True,True,parity,exposed,via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_is_registered,geopackage,True,True,intentional,exposed,Same.
swmm_gpkg_last_error,geopackage,True,True,intentional,exposed,Errors surface as ToolError directly; no separate query tool.
swmm_gpkg_link_count,geopackage,True,True,parity,exposed,via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_node_count,geopackage,True,True,parity,exposed,via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_observed_series_count,geopackage,True,True,parity,exposed,via geopackage.compare_sim_vs_observed (lists observed series).
swmm_gpkg_observed_value_count,geopackage,True,True,parity,exposed,via geopackage.compare_sim_vs_observed.
swmm_gpkg_open,geopackage,True,True,parity,exposed,via _geopackage.GeoPackage.__init__.
swmm_gpkg_query_double,geopackage,True,True,intentional,exposed,Same.
swmm_gpkg_query_int,geopackage,True,True,intentional,exposed,Direct SQL escape hatch; intentionally not exposed (security risk + LLM use case mismatch).
swmm_gpkg_read_observed_values,geopackage,True,True,parity,exposed,via geopackage.compare_sim_vs_observed.
swmm_gpkg_read_result_ts,geopackage,True,True,parity,exposed,via geopackage.get_result_timeseries.
swmm_gpkg_read_summary,geopackage,True,True,parity,exposed,via geopackage.get_result_summary.
swmm_gpkg_register,geopackage,True,True,intentional,exposed,Registration handled internally when opening; no standalone tool.
swmm_gpkg_result_ts_count,geopackage,True,True,parity,exposed,via geopackage.get_result_timeseries (count derivable from response).
swmm_gpkg_rollback,geopackage,True,True,intentional,exposed,Same.
swmm_gpkg_simulation_count,geopackage,True,True,parity,exposed,via geopackage.list_simulations (returns count + ids).
swmm_gpkg_simulation_id,geopackage,True,True,parity,exposed,"via _geopackage.GeoPackage.simulation_ids (plural, returns list)."
swmm_gpkg_subcatch_count,geopackage,True,True,parity,exposed,via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_topology_edge_count,geopackage,True,True,parity,exposed,via geopackage.list_simulations result includes object_counts.
swmm_gpkg_variable_count,geopackage,True,True,parity,exposed,via geopackage.get_result_summary (lists available variables).
swmm_gpkg_write_observed_value,geopackage,True,True,parity,exposed,via geopackage.import_observed_data (batched).
swmm_gpkg_write_observed_values,geopackage,True,True,parity,exposed,via geopackage.import_observed_data.
swmm_hotstart_apply,hotstart,True,True,parity,exposed,via hotstart.load_hotstart (calls apply after open).
swmm_hotstart_close,hotstart,True,True,intentional,exposed,HotStart lifecycle managed by load_hotstart's context.
swmm_hotstart_get_crs,hotstart,True,True,parity,exposed,via hotstart.load_hotstart result includes crs.
swmm_hotstart_get_sim_time,hotstart,True,True,parity,exposed,via hotstart.load_hotstart result includes sim_time.
swmm_hotstart_link_count,hotstart,True,True,parity,exposed,via hotstart.load_hotstart result includes link_count.
swmm_hotstart_node_count,hotstart,True,True,parity,exposed,via hotstart.load_hotstart result includes node_count.
swmm_hotstart_open,hotstart,True,True,parity,exposed,via hotstart.load_hotstart (opens + applies + closes internally).
swmm_hotstart_save,hotstart,True,True,,exposed,
swmm_hotstart_saves_add,hotstart,True,True,,exposed,
swmm_hotstart_saves_clear,hotstart,True,True,,exposed,
swmm_hotstart_saves_count,hotstart,True,True,,exposed,
swmm_hotstart_saves_get_datetime,hotstart,True,True,parity,exposed,via hotstart.saves_get.
swmm_hotstart_saves_get_path,hotstart,True,True,parity,exposed,via hotstart.saves_get (returns path + datetime).
swmm_hotstart_saves_remove,hotstart,True,True,,exposed,
swmm_hotstart_saves_set_datetime,hotstart,True,True,parity,exposed,via hotstart.saves_set (datetime_oadate field).
swmm_hotstart_saves_set_path,hotstart,True,True,parity,exposed,via hotstart.saves_set (path field).
swmm_hotstart_set_link_depth,hotstart,True,True,mcp-gap,exposed,Same pattern.
swmm_hotstart_set_link_flow,hotstart,True,True,mcp-gap,exposed,Same pattern.
swmm_hotstart_set_node_depth,hotstart,True,True,mcp-gap,exposed,State-modify-then-apply pattern; no standalone tool. Phase 4 follow-up.
swmm_hotstart_set_node_head,hotstart,True,True,mcp-gap,exposed,Same as set_node_depth.
swmm_hotstart_set_subcatch_runoff,hotstart,True,True,mcp-gap,exposed,Same pattern.
swmm_hotstart_warning,hotstart,True,True,parity,exposed,via _hotstart.HotStart.get_warning.
swmm_hotstart_warning_count,hotstart,True,True,parity,exposed,via hotstart.load_hotstart result includes warnings list (count derivable).
swmm_hydrograph_add,inflows,True,True,,exposed,
swmm_hydrograph_add_gage,inflows,True,True,parity,exposed,via _inflows.Inflows.add_hydrograph_gage.
swmm_hydrograph_clear_group_months,inflows,True,True,,exposed,
swmm_hydrograph_count,inflows,True,True,,exposed,
swmm_hydrograph_gage_count,inflows,True,True,,exposed,
swmm_hydrograph_get,inflows,True,True,,exposed,
swmm_hydrograph_get_gage,inflows,True,True,,exposed,
swmm_hydrograph_group_count,inflows,True,True,,exposed,
swmm_hydrograph_group_id,inflows,True,True,,exposed,
swmm_hydrograph_group_rename,inflows,True,True,,exposed,
swmm_hydrograph_remove_entry,inflows,True,True,,exposed,
swmm_hydrograph_remove_group,inflows,True,True,,exposed,
swmm_hydrograph_set_gage,inflows,True,True,,exposed,
swmm_hydrograph_set_ia,inflows,True,True,,exposed,
swmm_hydrograph_set_rtk,inflows,True,True,,exposed,
swmm_impact_report_free,edit,True,True,intentional,exposed,Python uses GC; _edit.ImpactEntry list is GC-managed.
swmm_inlet_add,infrastructure,True,True,,exposed,
swmm_inlet_count,infrastructure,True,True,,exposed,
swmm_inlet_get_params,infrastructure,True,True,,exposed,
swmm_inlet_get_type,infrastructure,True,True,,exposed,
swmm_inlet_id,infrastructure,True,True,,exposed,
swmm_inlet_index,infrastructure,True,True,,exposed,
swmm_inlet_set_params,infrastructure,True,True,,exposed,
swmm_is_between_events,engine,True,True,parity,exposed,via lifecycle.is_between_events.
swmm_landuse_add,quality,True,True,,exposed,
swmm_landuse_count,quality,True,True,,exposed,
swmm_landuse_get_sweep_interval,quality,True,True,parity,exposed,via quality.get_sweep_interval.
swmm_landuse_get_sweep_removal,quality,True,True,parity,exposed,via quality.get_sweep_removal.
swmm_landuse_id,quality,True,True,,exposed,
swmm_landuse_index,quality,True,True,,exposed,
swmm_landuse_set_sweep_interval,quality,True,True,parity,exposed,via quality.set_sweep_interval.
swmm_landuse_set_sweep_removal,quality,True,True,parity,exposed,via quality.set_sweep_removal.
swmm_lid_add,infrastructure,True,True,,exposed,
swmm_lid_count,infrastructure,True,True,,exposed,
swmm_lid_get_drain,infrastructure,True,True,,exposed,
swmm_lid_get_drainmat,infrastructure,True,True,,exposed,
swmm_lid_get_pavement,infrastructure,True,True,,exposed,
swmm_lid_get_soil,infrastructure,True,True,,exposed,
swmm_lid_get_storage,infrastructure,True,True,,exposed,
swmm_lid_get_surface,infrastructure,True,True,,exposed,
swmm_lid_get_type,infrastructure,True,True,,exposed,
swmm_lid_id,infrastructure,True,True,,exposed,
swmm_lid_index,infrastructure,True,True,,exposed,
swmm_lid_set_drain,infrastructure,True,True,,exposed,
swmm_lid_set_drainmat,infrastructure,True,True,,exposed,
swmm_lid_set_pavement,infrastructure,True,True,,exposed,
swmm_lid_set_soil,infrastructure,True,True,,exposed,
swmm_lid_set_storage,infrastructure,True,True,,exposed,
swmm_lid_set_surface,infrastructure,True,True,,exposed,
swmm_lid_usage_add,infrastructure,True,True,,exposed,
swmm_lid_usage_count,infrastructure,True,True,,exposed,
swmm_lid_usage_get,infrastructure,True,True,,exposed,
swmm_lid_usage_remove,infrastructure,True,True,,exposed,
swmm_link_add,links,True,True,,exposed,
swmm_link_analyze_impact,edit,True,True,,exposed,
swmm_link_convert,edit,True,True,,exposed,
swmm_link_count,links,True,True,parity,exposed,via lifecycle.open_model summary + query.find_elements counts.
swmm_link_delete,edit,True,True,,exposed,
swmm_link_get_barrels,links,True,True,,exposed,
swmm_link_get_capacities_bulk,links,True,True,,exposed,
swmm_link_get_capacity,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_closed,links,True,True,,exposed,
swmm_link_get_control_setting,links,True,True,,exposed,
swmm_link_get_control_settings_bulk,links,True,True,,exposed,
swmm_link_get_crest_height,links,True,True,,exposed,
swmm_link_get_culvert_code,links,True,True,,exposed,
swmm_link_get_depth,links,True,True,parity,exposed,via query.get_link_info (read during running/ended).
swmm_link_get_depths_bulk,links,True,True,,exposed,
swmm_link_get_discharge_coeff,links,True,True,,exposed,
swmm_link_get_end_contractions,links,True,True,,exposed,
swmm_link_get_flap_gate,links,True,True,,exposed,
swmm_link_get_flow,links,True,True,,exposed,
swmm_link_get_flows_bulk,links,True,True,,exposed,
swmm_link_get_from_node,links,True,True,parity,exposed,via query.get_link_info (returns endpoints).
swmm_link_get_hyd_power,links,True,True,,exposed,
swmm_link_get_hyd_powers_bulk,links,True,True,,exposed,
swmm_link_get_ids_bulk,links,True,True,,exposed,
swmm_link_get_initial_flow,links,True,True,,exposed,
swmm_link_get_length,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_loss_coeff,links,True,True,,exposed,
swmm_link_get_max_flow,links,True,True,,exposed,
swmm_link_get_offset_dn,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_offset_up,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_orifice_open_close_rate,links,True,True,,exposed,
swmm_link_get_orifice_type,links,True,True,,exposed,
swmm_link_get_outlet_expon,links,True,True,,exposed,
swmm_link_get_outlet_rating_type,links,True,True,,exposed,
swmm_link_get_pump_curve,links,True,True,,exposed,
swmm_link_get_pump_init_state,links,True,True,,exposed,
swmm_link_get_pump_shutoff_depth,links,True,True,,exposed,
swmm_link_get_pump_startup_depth,links,True,True,,exposed,
swmm_link_get_pump_stats_bulk,links,True,True,,exposed,
swmm_link_get_quality,links,True,True,,exposed,
swmm_link_get_quality_bulk,links,True,True,,exposed,
swmm_link_get_roughness,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_seep_rate,links,True,True,,exposed,
swmm_link_get_slope,links,True,True,parity,exposed,via query.get_link_info.
swmm_link_get_stat_max_filling,links,True,True,,exposed,
swmm_link_get_stat_max_flow,links,True,True,,exposed,
swmm_link_get_stat_max_velocity,links,True,True,,exposed,
swmm_link_get_stat_pump_cycles,links,True,True,,exposed,
swmm_link_get_stat_pump_on_time,links,True,True,,exposed,
swmm_link_get_stat_pump_volume,links,True,True,,exposed,
swmm_link_get_stat_surcharge_time,links,True,True,,exposed,
