# fig_id	tier	generator	inputs	file	page_id	figure_no	caption	provenance
# One row per image any manual embeds. Audited by scripts/build_manual_figures.py check;
# the column contract is in that script's docstring. Keep rows sorted by fig_id.
hydraulics_ch5_shapes_elliptical_arch	synthetic	src/hydraulics/ch5_xsect_gallery.py	-	figures/png/hydraulics_ch5_shapes_elliptical_arch.png	hydraulics_ref_ch5_cross_section	5-4	Elliptical and arch pipe cross sectional shapes	-
hydraulics_ch5_shapes_masonry	synthetic	src/hydraulics/ch5_xsect_gallery.py	-	figures/png/hydraulics_ch5_shapes_masonry.png	hydraulics_ref_ch5_cross_section	5-5	Masonry sewer shapes	-
hydraulics_ch5_storage_cone	synthetic	src/hydraulics/ch5_storage_shapes.py	-	figures/png/hydraulics_ch5_storage_cone.png	hydraulics_ref_ch5_cross_section	-	Elliptical cone storage shape	-
hydraulics_ch5_storage_cylinder	synthetic	src/hydraulics/ch5_storage_shapes.py	-	figures/png/hydraulics_ch5_storage_cylinder.png	hydraulics_ref_ch5_cross_section	-	Elliptical cylinder storage shape	-
hydraulics_ch5_storage_paraboloid	synthetic	src/hydraulics/ch5_storage_shapes.py	-	figures/png/hydraulics_ch5_storage_paraboloid.png	hydraulics_ref_ch5_cross_section	-	Elliptical paraboloid storage shape	-
hydraulics_ch5_storage_pyramid	synthetic	src/hydraulics/ch5_storage_shapes.py	-	figures/png/hydraulics_ch5_storage_pyramid.png	hydraulics_ref_ch5_cross_section	-	Rectangular pyramid storage shape	-
hydraulics_ch5_street_section	synthetic	src/hydraulics/ch5_street_section.py	-	figures/png/hydraulics_ch5_street_section.png	engine_manual_ch1_conceptual_model;hydraulics_ref_ch5_cross_section	5-10	A one-sided street cross-section	-
hydraulics_ch6_pump_type1	synthetic	src/hydraulics/ch6_pump_types.py	-	figures/png/hydraulics_ch6_pump_type1.png	hydraulics_ref_ch6_pumps_regulators	-	Type 1 pump curve	-
hydraulics_ch6_pump_type2	synthetic	src/hydraulics/ch6_pump_types.py	-	figures/png/hydraulics_ch6_pump_type2.png	hydraulics_ref_ch6_pumps_regulators	-	Type 2 pump curve	-
hydraulics_ch6_pump_type3	synthetic	src/hydraulics/ch6_pump_types.py	-	figures/png/hydraulics_ch6_pump_type3.png	hydraulics_ref_ch6_pumps_regulators	-	Type 3 pump curve	-
hydraulics_ch6_pump_type4	synthetic	src/hydraulics/ch6_pump_types.py	-	figures/png/hydraulics_ch6_pump_type4.png	hydraulics_ref_ch6_pumps_regulators	-	Type 4 pump curve	-
hydraulics_ch6_pump_type5	synthetic	src/hydraulics/ch6_pump_types.py	-	figures/png/hydraulics_ch6_pump_type5.png	hydraulics_ref_ch6_pumps_regulators	-	Type 5 pump curve	-
hydraulics_ch7_street_spread	synthetic	src/hydraulics/ch5_street_section.py	-	figures/png/hydraulics_ch7_street_spread.png	hydraulics_ref_ch7_advanced_features	7-11	Street cross-section divided into gutter and roadway flow	-
hydraulics_ch8_cell_layout	synthetic	src/hydraulics/ch8_cell_layout.py	-	figures/png/hydraulics_ch8_cell_layout.png	hydraulics_ref_ch8_finite_volume	8-1	Node–link routing against the finite-volume view: one momentum balance per conduit versus a conduit cut into cells with the water surface resolved inside it	-
hydraulics_ch8_hll_fan	synthetic	src/hydraulics/ch8_hll_fan.py	-	figures/png/hydraulics_ch8_hll_fan.png	hydraulics_ref_ch8_finite_volume	8-3	The Riemann fan at a face: HLL signal speeds for a wet–wet face and the rarefaction-tail estimate at a dry bed	-
hydraulics_ch8_hydrostatic_reconstruction	synthetic	src/hydraulics/ch8_hydrostatic_reconstruction.py	-	figures/png/hydraulics_ch8_hydrostatic_reconstruction.png	hydraulics_ref_ch8_finite_volume	8-7	Hydrostatic reconstruction at a wet and dry face	-
hydraulics_ch8_lts_ladder	synthetic	src/hydraulics/ch8_lts_ladder.py	-	figures/png/hydraulics_ch8_lts_ladder.png	hydraulics_ref_ch8_finite_volume	8-4	Local time stepping: power-of-two tiers, the macro cycle and flux accumulation across a tier interface	-
hydraulics_ch8_node_ghost_state	synthetic	src/hydraulics/ch8_node_ghost_state.py	-	figures/png/hydraulics_ch8_node_ghost_state.png	hydraulics_ref_ch8_finite_volume	8-8	Ghost state built from the node head at a coupling face	-
hydraulics_ch8_slot_closure	synthetic	src/hydraulics/ch8_slot_closure.py	-	figures/png/hydraulics_ch8_slot_closure.png	hydraulics_ref_ch8_finite_volume	8-2	The tapered static slot for a 3 ft circular pipe: top width and celerity across the crown at four slot celerities	-
hydraulics_ch9_active_set	synthetic	src/hydraulics/ch9_active_set.py	-	figures/png/hydraulics_ch9_active_set.png	hydraulics_ref_ch9_two_dimensional	9-5	The flux-active set at a wetting front: the default one-ring halo, the front-rebuild halo and the breach that forces an early rebuild	-
hydraulics_ch9_coupling_modes	synthetic	src/hydraulics/ch9_coupling_modes.py	-	figures/png/hydraulics_ch9_coupling_modes.png	hydraulics_ref_ch9_two_dimensional	9-6	Where a node spill is booked under COUPLING_IN_FLOODING: the same totals and the same continuity error, in two different rows	-
hydraulics_ch9_mesh_stencil	synthetic	src/hydraulics/ch9_mesh_stencil.py	-	figures/png/hydraulics_ch9_mesh_stencil.png	hydraulics_ref_ch9_two_dimensional	9-4	A quadrilateral and a triangle sharing a face: local edge numbering, the padded slot layout and the centroid-to-edge distance	-
hydraulics_ch9_vfr_wetting_cases	synthetic	src/hydraulics/ch9_vfr_wetting_cases.py	-	figures/png/hydraulics_ch9_vfr_wetting_cases.png	hydraulics_ref_ch9_two_dimensional	9-3	Wetting cases of a planar-bed triangular cell and the wetted-edge face gate	-
hydraulics_conceptual_1d2d	synthetic	src/engine/conceptual_map.py	-	figures/png/hydraulics_conceptual_1d2d.png	hydraulics_ref_ch9_two_dimensional	9-1	The one-dimensional network and the two-dimensional surface: exchange pathways	-
hydraulics_conceptual_map	synthetic	src/engine/conceptual_map.py	-	figures/png/hydraulics_conceptual_map.png	hydraulics_ref_ch1_overview	1-7	The hydraulics of this manual: the 1D network, the 2D surface and their coupling	-
hydraulics_figure3_8_placeholder	legacy	-	-	manuals/reference/hydraulics/media/media/figure3-8-placeholder.png	hydraulics_ref_ch3_dynamic_wave	3-8	Conceptual representation of the dynamic Preissmann slot	scripts/generate_placeholder_figures.py (watermarked placeholder, 2026-08-11)
hydraulics_figure4_1	legacy	-	-	manuals/reference/hydraulics/media/media/figure4-1.png	hydraulics_ref_ch4_kinematic_wave	4-1	Section factor versus area for a circular shape	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_figure1_6	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-figure1-6.png	hydraulics_ref_ch1_overview	1-6	Interpolation of reported values from computed values	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image1	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image1.jpeg	hydraulics_ref_ch1_overview	1-1	Elements of a typical urban drainage system	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image10	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image10.png	hydraulics_ref_ch2_hydraulic_model	2-2	Comparison of dynamic wave and kinematic wave solutions (from Miller, 1984)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image11	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image11.png	hydraulics_ref_ch3_dynamic_wave	3-1	Node-link representation of a conveyance network in SWMM (from Roesner et al, 1992)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image12	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image12.png	hydraulics_ref_ch3_dynamic_wave	3-2	Special flow conditions for dynamic wave analysis	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image13	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image13.png	hydraulics_ref_ch3_dynamic_wave	3-2	Special flow conditions for dynamic wave analysis	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image14	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image14.png	hydraulics_ref_ch3_dynamic_wave	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image15	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image15.png	hydraulics_ref_ch3_dynamic_wave	3-4	Ponding of excess water above a junction	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image16	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image16.png	hydraulics_ref_ch3_dynamic_wave	3-5	Profile view of example rectangular conduit (not to scale)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image17	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image17.png	hydraulics_ref_ch3_dynamic_wave	3-6	Outflow hydrographs for example conduit -I	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image18	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image18.png	hydraulics_ref_ch3_dynamic_wave	3-7	Outflow hydrographs for example conduit - II	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image20	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image20.png	hydraulics_ref_ch4_kinematic_wave	4-2	Space-time grid for kinematic wave analysis	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image21	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image21.png	hydraulics_ref_ch4_kinematic_wave	4-3	Outflow hydrograph for example conduit	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image23	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image23.png	hydraulics_ref_ch5_cross_section	5-2	Geometric properties of a partly filled circular shape based on depth	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image24	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image24.png	hydraulics_ref_ch5_cross_section	5-3	Geometric properties of a partly filled circular shape based on area	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image29	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image29.png	hydraulics_ref_ch5_cross_section	5-7	A Shape Curve with a depth segment shown	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image30	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image30.png	hydraulics_ref_ch5_cross_section	5-8	A natural channel transect	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image31	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image31.png	hydraulics_ref_ch5_cross_section	5-9	A transect depth increment with three compound segments	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image37	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image37.png	hydraulics_ref_ch5_cross_section	5-11	Example of a storage curve and its section view	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image38	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image38.png	hydraulics_ref_ch5_cross_section	5-11	Example of a storage curve and its section view	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image39	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image39.png	hydraulics_ref_ch5_cross_section	5-12	Finding the volume at a given depth for a storage curve	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image4	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image4.png	hydraulics_ref_ch1_overview	1-4	Block diagram of SWMM's state transition process	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image49	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image49.png	hydraulics_ref_ch6_pumps_regulators	6-4	Transverse weir shapes	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image5	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image5.png	hydraulics_ref_ch1_overview	1-5	Flow chart of SWMM's simulation procedure	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image50	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image50.png	hydraulics_ref_ch6_pumps_regulators	6-5	Coefficient for triangular weirs (from Brater and King, 1976)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image51	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image51.png	hydraulics_ref_ch6_pumps_regulators	6-6	Definitions of submerged and surcharged weir flow	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image52	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image52.png	hydraulics_ref_ch6_pumps_regulators	6-7	Rating curve for a vortex device compared to an orifice	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image8	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image8.png	hydraulics_ref_ch2_hydraulic_model	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_hydraulics_image9	legacy	-	-	manuals/reference/hydraulics/media/media/hydraulics-image9.png	hydraulics_ref_ch2_hydraulic_model	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image45	legacy	-	-	manuals/reference/hydraulics/media/media/image45.png	hydraulics_ref_ch6_pumps_regulators	6-1	Orifice orientations	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image46	legacy	-	-	manuals/reference/hydraulics/media/media/image46.png	hydraulics_ref_ch6_pumps_regulators	6-2	Determination of effective head for an orifice	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image47	legacy	-	-	manuals/reference/hydraulics/media/media/image47.png	hydraulics_ref_ch6_pumps_regulators	6-2	Determination of effective head for an orifice	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image48	legacy	-	-	manuals/reference/hydraulics/media/media/image48.png	hydraulics_ref_ch6_pumps_regulators	6-3	Orifice with unsubmerged inlet	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image53	legacy	-	-	manuals/reference/hydraulics/media/media/image53.png	hydraulics_ref_ch7_advanced_features	7-1	Depths used for computing seepage in storage units	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image54	legacy	-	-	manuals/reference/hydraulics/media/media/image54.png	hydraulics_ref_ch7_advanced_features	7-2	Concrete box culvert (from FHWA, 2012)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image55	legacy	-	-	manuals/reference/hydraulics/media/media/image55.png	hydraulics_ref_ch7_advanced_features	7-3	Example of a culvert rating curve (from FHWA, 2012)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image56	legacy	-	-	manuals/reference/hydraulics/media/media/image56.png	hydraulics_ref_ch7_advanced_features	7-4	Roadway overtopping (from FHWA, 2012)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image57	legacy	-	-	manuals/reference/hydraulics/media/media/image57.png	hydraulics_ref_ch7_advanced_features	7-5	SWMM node-link representation of a culvert with a roadway weir	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image58	legacy	-	-	manuals/reference/hydraulics/media/media/image58.png	hydraulics_ref_ch7_advanced_features	7-6	Discharge coefficients for roadway weirs (from FHWA, 2012)	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image59	legacy	-	-	manuals/reference/hydraulics/media/media/image59.png	hydraulics_ref_ch7_advanced_features	7-7	Examples of storm drain inlets	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image60	legacy	-	-	manuals/reference/hydraulics/media/media/image60.png	hydraulics_ref_ch7_advanced_features	7-7	Examples of storm drain inlets	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image61	legacy	-	-	manuals/reference/hydraulics/media/media/image61.png	hydraulics_ref_ch7_advanced_features	7-8	Standard types of curb and gutter inlets	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image62	legacy	-	-	manuals/reference/hydraulics/media/media/image62.png	hydraulics_ref_ch7_advanced_features	7-9	Performance curve for a custom inlet	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image63	legacy	-	-	manuals/reference/hydraulics/media/media/image63.png	hydraulics_ref_ch7_advanced_features	7-10	Representation of a dual drainage system	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image64	legacy	-	-	manuals/reference/hydraulics/media/media/image64.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image67	legacy	-	-	manuals/reference/hydraulics/media/media/image67.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image68	legacy	-	-	manuals/reference/hydraulics/media/media/image68.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image69	legacy	-	-	manuals/reference/hydraulics/media/media/image69.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image7	legacy	-	-	manuals/reference/hydraulics/media/media/image7.jpg	hydraulics_ref_ch2_hydraulic_model	2-1	Node-link representation of a sewer system	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image70	legacy	-	-	manuals/reference/hydraulics/media/media/image70.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image72	legacy	-	-	manuals/reference/hydraulics/media/media/image72.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image73	legacy	-	-	manuals/reference/hydraulics/media/media/image73.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image74	legacy	-	-	manuals/reference/hydraulics/media/media/image74.png	hydraulics_ref_ch7_advanced_features	-	-	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydraulics_image75	legacy	-	-	manuals/reference/hydraulics/media/media/image75.png	hydraulics_ref_ch7_advanced_features	7-12	Types of channel drop inlets	EPA SWMM 5 Reference Manual Vol. II Hydraulics (2021), pandoc export
hydrology_ch3_nonlinear_reservoir	synthetic	src/hydrology/ch3_nonlinear_reservoir.py	-	figures/png/hydrology_ch3_nonlinear_reservoir.png	engine_manual_ch1_conceptual_model;hydrology_ref_ch3_surface_runoff	3-2	Nonlinear reservoir model of a subcatchment	-
hydrology_ch4_green_ampt_curve	synthetic	src/hydrology/ch4_infiltration_curves.py	-	figures/png/hydrology_ch4_green_ampt_curve.png	hydrology_ref_ch4_infiltration	4-6	Illustration of infiltration capacity as function of cumulative infiltration for the Green-Ampt method	-
hydrology_ch4_green_ampt_recovery_params	synthetic	src/hydrology/ch4_infiltration_curves.py	-	figures/png/hydrology_ch4_green_ampt_recovery_params.png	hydrology_ref_ch4_infiltration	4-7	Green-Ampt recovery parameters as functions of hydraulic conductivity	-
hydrology_ch4_horton_cumulative	synthetic	src/hydrology/ch4_infiltration_curves.py	-	figures/png/hydrology_ch4_horton_cumulative.png	hydrology_ref_ch4_infiltration	4-3	Cumulative infiltration F as the area under the Horton curve	-
hydrology_ch4_horton_curve	synthetic	src/hydrology/ch4_infiltration_curves.py	-	figures/png/hydrology_ch4_horton_curve.png	hydrology_ref_ch4_infiltration	4-2	The Horton infiltration curve	-
hydrology_ch4_horton_recovery	synthetic	src/hydrology/ch4_infiltration_curves.py	-	figures/png/hydrology_ch4_horton_recovery.png	hydrology_ref_ch4_infiltration	4-4	Regeneration (recovery) of infiltration capacity during dry time steps	-
hydrology_ch5_lateral_flow_heights	synthetic	src/hydrology/ch5_two_zone_column.py	-	figures/png/hydrology_ch5_lateral_flow_heights.png	hydrology_ref_ch5_groundwater	5-2	Heights used to compute lateral groundwater flow rate	-
hydrology_ch5_two_zone	synthetic	src/hydrology/ch5_two_zone_column.py	-	figures/png/hydrology_ch5_two_zone.png	engine_manual_ch1_conceptual_model;hydrology_ref_ch5_groundwater	5-1	Definitional sketch of the two-zone groundwater model	-
hydrology_ch6_areal_depletion_curve	synthetic	src/hydrology/ch6_adc_curves.py	-	figures/png/hydrology_ch6_areal_depletion_curve.png	engine_manual_ch1_conceptual_model;hydrology_ref_ch6_snowmelt	6-4	Typical areal depletion curve for natural area and temporary curve for new snow	-
hydrology_ch7_ia_seasonal	synthetic	src/hydrology/ch7_ia_seasonal.py	-	figures/png/hydrology_ch7_ia_seasonal.png	hydrology_ref_ch7_rdii	7-11	Seasonal behaviour of the exponential-decay initial abstraction model	-
hydrology_ch7_rtk_unit_hydrographs	synthetic	src/hydrology/ch7_rtk_unit_hydrograph.py	-	figures/png/hydrology_ch7_rtk_unit_hydrographs.png	hydrology_ref_ch7_rdii	7-4	Use of three unit hydrographs to represent RDII	-
hydrology_ch8_cell_budget	synthetic	src/hydrology/ch8_cell_budget.py	-	figures/png/hydrology_ch8_cell_budget.png	hydrology_ref_ch8_mesh_surface	8-1	The water balance of one mesh cell: rainfall, evaporation, infiltration, network exchange and the lateral face fluxes	-
hydrology_ch8_infiltration_strip	synthetic	src/hydrology/ch8_infiltration_strip.py	-	figures/png/hydrology_ch8_infiltration_strip.png	hydrology_ref_ch8_mesh_surface	8-3	Per-cell infiltration: how a cell resolves its method and parameters, and the rate held across an infiltration step	-
hydrology_ch8_nn_weights	synthetic	src/hydrology/ch8_nn_weights.py	-	figures/png/hydrology_ch8_nn_weights.png	hydrology_ref_ch8_mesh_surface	8-2	Natural-neighbour rainfall weights inside the gage hull, and inverse-distance weighting outside it	-
hydrology_ch9_node_bed_exchange	synthetic	src/hydrology/ch9_node_bed_exchange.py	-	figures/png/hydrology_ch9_node_bed_exchange.png	hydrology_ref_ch9_mesh_groundwater	9-3	Node-aquifer exchange through a semi-confining bed, in both directions, with the caps that bound it	-
hydrology_ch9_soil_characteristics	synthetic	src/hydrology/ch9_soil_characteristics.py	-	figures/png/hydrology_ch9_soil_characteristics.png	hydrology_ref_ch9_mesh_groundwater	9-2	Retention and relative conductivity of the four soil-characteristic laws at their default parameters	-
hydrology_ch9_two_layer_column	synthetic	src/hydrology/ch9_two_layer_column.py	-	figures/png/hydrology_ch9_two_layer_column.png	hydrology_ref_ch9_mesh_groundwater	9-1	One aquifer column and its fluxes, with the unsaturated zone held as a bulk store (closure A) and as sigma layers (closure B)	-
hydrology_conceptual_map	synthetic	src/engine/conceptual_map.py	-	figures/png/hydrology_conceptual_map.png	hydrology_ref_ch1_overview	1-7	The hydrology of this manual: atmosphere, land surface and subsurface representations	-
hydrology_figure1_4	legacy	-	-	manuals/reference/hydrology/media/media/figure1-4.png	hydrology_ref_ch1_overview	1-4	Block diagram of SWMM's state transition process	EPA SWMM 5 Reference Manual Vol. I Hydrology (2015), pandoc export
